,Neighbourhood,Cultural Location Index,Longitude,Latitude
118,Wexford/Maryvale,0.4,,
119,Clairlea-Birchmount,0.29,,
120,Oakridge,0.37,-122.467474,43.7449421
121,Birchcliffe-Cliffside,0.64,,
122,Cliffcrest,0.34,-79.2362138,43.7218363
123,Kennedy Park,0.05,-8.455401141243211,51.8952664
124,Ionview,0.13,-79.2765146,43.7359904
125,Dorset Park,0.3,-79.282067,43.7528467
126,Bendale,0.46,-79.2553355,43.7535196
127,Agincourt South-Malvern West,0.5,-79.25768943954708,43.781969000000004
128,Agincourt North,0.48,-79.2664391,43.8080383
129,Milliken,0.36,-79.3070726,43.823705
130,Rouge,0.5,0.7055390121485008,48.283710299999996
131,Malvern,0.39,-2.3258985,52.1159559
132,Centennial Scarborough,0.38,-79.1507681,43.7874914
133,Highland Creek,0.38,-79.1733344,43.7901172
134,Morningside,0.4,-3.2100796,55.9296409
135,West Hill,0.42,-79.1872905,43.7689144
136,Woburn,0.36,-71.1522766,42.4792618
137,Eglinton East,0.25,-7.1681495,55.0405477
138,Scarborough Village,0.5,-79.2116324,43.7437422
139,Guildwood,0.46,-79.1982293,43.7552251
